Algorithm,Type,Size,Time,Comparisons,Copies,Aux,RecDepth
Top-Down,sorted,1000,0.0005849,5044,19952,1000,11
Bottom-Up,sorted,1000,0.0005701,5052,19968,1000,0
Top-Down,random,1000,0.0004927,9331,19952,1000,11
Bottom-Up,random,1000,0.0004756,9353,19968,1000,0
Top-Down,almost_sorted,1000,0.0003133,6381,19952,1000,11
Bottom-Up,almost_sorted,1000,0.000285,6422,19968,1000,0
Top-Down,reverse_sorted,1000,0.0004107,9976,19952,1000,11
Bottom-Up,reverse_sorted,1000,0.0003966,9984,19968,1000,0
Top-Down,few_values,1000,0.0008752,7235,19952,1000,11
Bottom-Up,few_values,1000,0.0004706,7287,19968,1000,0
Top-Down,sorted,5000,0.0032519,32004,123616,5000,14
Bottom-Up,sorted,5000,0.0021695,33356,126320,5000,0
Top-Down,random,5000,0.0041196,59041,123616,5000,14
Bottom-Up,random,5000,0.002125,59943,126320,5000,0
Top-Down,almost_sorted,5000,0.0017962,45308,123616,5000,14
Bottom-Up,almost_sorted,5000,0.0017821,47432,126320,5000,0
Top-Down,reverse_sorted,5000,0.0031947,61808,123616,5000,14
Bottom-Up,reverse_sorted,5000,0.0030962,63160,126320,5000,0
Top-Down,few_values,5000,0.0024052,54191,123616,5000,14
Bottom-Up,few_values,5000,0.0024062,55266,126320,5000,0
Top-Down,sorted,20000,0.0094859,148016,574464,20000,16
Bottom-Up,sorted,20000,0.0096035,153424,585280,20000,0
Top-Down,random,20000,0.0161808,276248,574464,20000,16
Bottom-Up,random,20000,0.0103709,279870,585280,20000,0
Top-Down,almost_sorted,20000,0.0106353,221430,574464,20000,16
Bottom-Up,almost_sorted,20000,0.0131531,225555,585280,20000,0
Top-Down,reverse_sorted,20000,0.0170194,287232,574464,20000,16
Bottom-Up,reverse_sorted,20000,0.0140404,292640,585280,20000,0
Top-Down,few_values,20000,0.0163717,265377,574464,20000,16
Bottom-Up,few_values,20000,0.0150659,269229,585280,20000,0
Top-Down,sorted,80000,0.0515463,672064,2617856,80000,18
Bottom-Up,sorted,80000,0.0591163,693696,2661120,80000,0
Top-Down,random,80000,0.0795474,1264924,2617856,80000,18
Bottom-Up,random,80000,0.0544385,1279935,2661120,80000,0
Top-Down,almost_sorted,80000,0.0438973,1055019,2617856,80000,18
Bottom-Up,almost_sorted,80000,0.0427627,1060879,2661120,80000,0
Top-Down,reverse_sorted,80000,0.0562452,1308928,2617856,80000,18
Bottom-Up,reverse_sorted,80000,0.0461165,1330560,2661120,80000,0
Top-Down,few_values,80000,0.0744006,1212397,2617856,80000,18
Bottom-Up,few_values,80000,0.0578289,1227716,2661120,80000,0
